HH_ID,ResType,ResStatus,HHInc,HHNbr,MWrkHrs,MEdu,FWrkHrs,FEdu,FBirth,F_Rel,MBirth,M_Rel,Cable,Cats,Dogs,YogExp,DinExp,HHIn1,HHIn2,HHIn3,HHIn4,HHIn5,HHIn6,HHIn7,HHIn8,HHIn9,HHIn10,HHIn11,HHIn12,HHIn13,ResType1,ResType2,ResType3,ResType4,ResType5,ResStatus1,ResStatus2,MUndergrad,MGrad,FUndergrad,FGrad,Married,BuyYog,BuyDin,FAge,MAge
1102244,3,1,3,2,0,8,0,9,1909,1,1910,2,0,0,0,2.26,0.00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,79,78
1102293,1,2,2,1,0,0,40,6,1931,1,1931,0,1,0,0,161.13,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,57,57
1102301,3,1,6,2,60,9,0,7,1951,1,1945,2,1,0,1,11.11,0.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,37,43
1102327,3,1,6,4,66,8,40,5,1946,1,1944,2,1,0,0,28.76,24.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,42,44
1102392,3,1,4,1,0,0,40,4,1916,1,1916,0,1,0,0,15.59,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,72,72
1102418,5,1,3,2,0,0,0,3,1920,1,1920,0,0,0,0,1.49,0.00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,68,68
1102426,3,1,5,3,50,5,25,5,1941,1,1939,2,1,0,0,24.36,33.66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,47,49
1102459,1,2,9,2,45,5,40,8,1929,1,1927,2,1,0,0,10.63,0.00,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,59,61
1102483,3,1,6,2,0,5,40,8,1932,1,1930,2,0,0,1,5.90,0.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,56,58
1102491,3,1,12,7,80,11,0,10,1949,1,1945,2,1,0,1,35.16,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,39,43
