INSTNM,STABBR,ACCREDAGENCY,MAIN,PREDDEG,CONTROL,LOCALE,CCUGPROF,CCSIZSET,PCTFLOAN,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,LO_INC_RPY_1YR_RT,MD_INC_RPY_1YR_RT,HI_INC_RPY_1YR_RT,MD_EARN_WNE_P6,COUNT_NWNE_P6,COUNT_WNE_P6
College of Alameda,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,3,0.0068,6186,7885,9549,11932,,0.138889,,,24500.00,189,676
Allan Hancock College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,12,1,4,0.0135,2402,2887,5285,7506,,0.190476,,,24000.00,217,1037
American Academy of Dramatic Arts-Los Angeles,CA,Middle States Commission on Higher Education,0,2,2,11,4,1,0.5107,,,,,,0.271429,0.322581,0.577465,18600.00,,
American Baptist Seminary of the West,CA,Commission on Accrediting of the Association of Theological Schools,1,4,2,12,0,18,,,,,,,,,,,,
American Film Institute Conservatory,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,11,0,18,,,,,,,,,,,,
American Beauty College,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.4792,,,,,,0.500000,,,,,
American Career College-Los Angeles,CA,Accrediting Bureau of Health Education Schools,1,1,3,11,4,2,0.5711,,,,,,0.255077,0.395683,0.461847,24600.00,1050,5158
American Conservatory Theater,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,1,2,11,0,6,0.0769,,,,,,,,,,,
American River College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,21,1,5,0.0300,4282,4534,7358,9433,11961,0.162467,0.309645,0.342105,23200.00,1689,4832
Antelope Valley College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,5,12,0.1157,5344,5884,7960,10652,13084,0.118595,0.244094,0.500000,19600.00,1280,3296
Art Center College of Design,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,12,13,9,0.4843,,,,,,0.570667,0.588608,0.680723,40300.00,73,506
Associated Technical College-Los Angeles,CA,Accrediting Commission of Career Schools and Colleges,1,1,3,11,-2,-2,0.4877,,,,,,0.350877,,,15000.00,361,889
Associated Technical College-San Diego,CA,Accrediting Commission of Career Schools and Colleges,1,1,3,11,-2,-2,0.5692,,,,,,,,,16700.00,129,243
Azusa Pacific University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,13,14,0.5438,,,,,,0.413333,0.572396,0.711316,42000.00,151,1918
Bakersfield College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,11,5,15,0.0155,5353,,,,5923,0.183746,0.387387,0.454545,22400.00,959,4239
Barstow Community College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,32,2,2,0.0000,8515,8141,11374,12752,,,,,19900.00,435,973
Bellus Academy-Chula Vista,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.5863,,,,,,0.191388,,,17100.00,65,208
Bethesda University,CA,Transnational Association of Christian Colleges and Schools,1,3,2,11,10,6,0.2761,,,,,,,,,,,
Biola University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,13,14,0.5925,,,,,,0.581019,0.690391,0.780323,34500.00,114,1237
Brownson Technical School,CA,Accrediting Commission of Career Schools and Colleges,1,1,3,11,-2,-2,0.7622,,,,,,0.551724,,,39200.00,48,233
Bryan University,AZ,Accrediting Commission of Career Schools and Colleges,1,2,3,12,11,9,0.7370,,,,,,0.213949,0.292453,0.479167,31100.00,70,341
Butte College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,42,2,4,0.0622,3238,3533,6675,9103,10848,0.220367,0.438438,0.551020,23800.00,936,3025
California Institute of Integral Studies,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,11,9,0.8000,,,,,,0.375000,,,31700.00,,
Cabrillo College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,22,1,4,0.0172,6449,7371,9770,11938,,0.306358,0.433735,0.444444,24300.00,521,1783
California Baptist University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,13,13,0.6968,,,,,,0.355913,0.473373,0.618096,34300.00,131,1278
California College of the Arts,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,13,10,0.4845,,,,,,0.556485,0.632530,0.703030,29400.00,75,446
University of California-Hastings College of Law,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,1,11,0,18,,,,,,,,,,86100.00,,
California Institute of Technology,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,12,14,11,0.0468,,,,,,,,,54500.00,,
California Lutheran University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,12,13,13,0.5461,,,,,,0.518033,0.613181,0.742802,38500.00,51,727
California Polytechnic State University-San Luis Obispo,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,23,14,16,0.3040,13301,14658,18834,21965,25819,0.759959,0.827586,0.859953,52100.00,202,3560
Alliant International University-San Diego,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,1,3,11,5,9,0.0779,,,,,,0.322581,,,59600.00,48,508
California State University-Bakersfield,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,11,13,12,0.3422,3862,4306,7605,11790,14776,0.410959,0.554133,0.610672,36400.00,275,2305
California State University-Stanislaus,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,23,13,12,0.3542,3483,4365,8406,12486,15403,0.528384,0.580000,0.671986,35000.00,227,2491
California State University-San Bernardino,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,12,11,15,0.3513,5977,6746,9739,14148,17355,0.418938,0.493470,0.531189,33100.00,535,4770
California State Polytechnic University-Pomona,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,21,13,15,0.3205,9510,10625,13703,17188,20399,0.635856,0.691271,0.698901,39900.00,432,4960
California State University-Chico,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,13,13,15,0.4528,9967,11280,15420,19385,22795,0.559227,0.688905,0.737611,38200.00,374,4150
California State University-Dominguez Hills,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,13,9,15,0.3061,1888,3222,6902,11188,13193,0.394804,0.498415,0.575372,33100.00,401,3416
California State University-Fresno,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,11,11,15,0.3029,4067,5477,9127,12631,15693,0.520748,0.590650,0.655594,32400.00,434,5211
California State University-Fullerton,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,21,13,15,0.2850,4843,6436,9632,13636,16656,0.605256,0.678797,0.675036,35100.00,733,8295
California State University-East Bay,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,12,13,15,0.3254,8106,9821,14016,17844,20233,0.482102,0.570016,0.655218,40600.00,404,3643
California State University-Long Beach,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,11,13,15,0.3230,5735,7031,10711,14411,17197,0.604877,0.697521,0.702427,36500.00,690,7536
California State University-Los Angeles,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,11,11,15,0.2927,2055,4807,8539,11235,12938,0.490487,0.561425,0.590985,33700.00,602,5661
California State University-Northridge,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,11,11,15,0.2958,5767,6943,11046,15292,17892,0.509037,0.594045,0.640152,33700.00,908,8339
California State University-Sacramento,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,11,11,15,0.3397,6680,7615,11432,15241,18629,0.526790,0.632612,0.662945,38600.00,665,7233
University of California-Berkeley,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,12,15,16,0.2180,8043,9740,13750,20774,31177,0.682430,0.804384,0.809524,48700.00,702,5251
University of California-Davis,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,23,15,15,0.3359,9629,10533,13895,17655,30156,0.738622,0.789017,0.827885,40400.00,646,6226
University of California-Irvine,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,11,15,16,0.3464,9178,10423,14072,21023,28755,0.712452,0.752850,0.785641,41100.00,547,4936
University of California-Los Angeles,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,11,15,17,0.3169,8636,9619,12786,19323,28665,0.696668,0.773056,0.809182,44500.00,653,5482
University of California-Riverside,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,11,15,16,0.4750,7817,9188,12215,18808,27948,0.586535,0.635995,0.681985,33700.00,493,4833
University of California-San Diego,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,11,15,16,0.3554,8452,9674,12898,19247,27508,0.742478,0.812991,0.822887,43400.00,634,5155
University of California-San Francisco,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,1,11,0,18,,,,,,,,,,95400.00,,
University of California-Santa Barbara,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,22,15,16,0.3452,10733,11760,14984,21096,31436,0.625496,0.696935,0.767602,39000.00,441,4575
University of California-Santa Cruz,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,13,15,17,0.4232,10601,11927,15559,22969,32852,0.636939,0.701250,0.768632,33800.00,409,3968
Sofia University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,3,13,5,6,0.6364,,,,,,,,,,,
California Beauty School,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,12,-2,-2,0.4885,,,,,,0.341772,,,,,
California Christian College,CA,Transnational Association of Christian Colleges and Schools,1,3,2,11,5,6,0.5000,,,,,,,,,,,
California Coast University,CA,Distance Education Accrediting Commission,1,0,3,11,-2,-2,,,,,,,,,,,,
California Hair Design Academy,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.3378,,,,,,0.340909,,,18200.00,39,121
California Institute of the Arts,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,14,10,0.4735,,,,,,0.563492,0.650485,0.695652,26900.00,55,357
California State University Maritime Academy,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,12,13,11,0.5057,14182,16797,21542,22645,27208,0.765957,0.778846,0.833333,73100.00,,
California Western School of Law,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,11,0,18,,,,,,,,,,67400.00,,
Canada College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,3,0.0094,2184,2420,5304,6126,,0.316239,,,29200.00,90,414
College of the Canyons,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,5,0.0177,3642,4860,7460,8651,11340,0.222857,0.366935,0.511628,26900.00,292,1414
Career Academy of Beauty,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.5922,,,,,,0.451220,,,17000.00,54,170
Casa Loma College-Van Nuys,CA,Accrediting Bureau of Health Education Schools,1,2,2,11,4,1,0.7308,,,,,,0.257658,0.440476,0.490196,39000.00,66,561
CET-San Diego,CA,Council on Occupational Education,0,1,2,11,-2,-2,0.3198,,,,,,0.250236,0.533191,0.619048,19500.00,1032,3712
CET-San Jose,CA,Council on Occupational Education,1,1,2,11,-2,-2,0.4202,,,,,,0.250236,0.533191,0.619048,19500.00,1032,3712
CET-El Centro,CA,Council on Occupational Education,0,1,2,13,-2,-2,0.1490,,,,,,0.250236,0.533191,0.619048,19500.00,1032,3712
CET-Colton,CA,Council on Occupational Education,0,1,2,21,-2,-2,0.4878,,,,,,0.250236,0.533191,0.619048,19500.00,1032,3712
CET-Watsonville,CA,Council on Occupational Education,0,1,2,13,-2,-2,0.1594,,,,,,0.250236,0.533191,0.619048,19500.00,1032,3712
CET-Salinas,CA,Council on Occupational Education,0,1,2,12,-2,-2,0.1330,,,,,,0.250236,0.533191,0.619048,19500.00,1032,3712
Cerritos College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,21,2,5,0.0281,1001,1109,3832,6166,8650,0.259479,0.396648,0.555556,24500.00,689,3825
Cerro Coso Community College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,41,1,3,0.0000,10130,,,,10079,,,,20400.00,217,495
Chabot College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,12,1,4,0.0092,3734,4236,7633,9258,,0.241176,0.378378,0.444444,27500.00,497,2151
Chaffey College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,5,0.0000,8226,8632,12140,13041,,0.238938,,,24400.00,741,3392
Chapman University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,12,14,13,0.5148,,,,,,0.475610,0.558042,0.760666,43900.00,304,3244
Charles R Drew University of Medicine and Science,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,2,2,21,13,6,0.6087,,,,,,0.369231,,,67100.00,,
Concordia University-Irvine,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,13,14,0.6033,,,,,,0.533088,0.664384,0.713433,36000.00,49,557
San Diego Christian College,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,7,7,0.5578,,,,,,0.236364,0.438849,0.642202,27700.00,,
Church Divinity School of the Pacific,CA,Commission on Accrediting of the Association of Theological Schools,1,4,2,12,0,18,,,,,,,,,,,,
Citrus College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,2,4,0.0170,2868,3579,6102,9274,,0.188202,,,23800.00,427,2159
Citrus Heights Beauty College,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.3933,,,,,,,,,,,
City College of San Francisco,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,1,1,11,1,5,0.0065,2857,2741,5886,7324,10392,0.293103,0.378151,0.531250,26800.00,1078,3928
Claremont Graduate University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,21,0,18,,,,,,,,,,,,
Claremont McKenna College,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,21,14,11,0.2212,,,,,,,,,55900.00,,
Milan Institute-Visalia,CA,Council on Occupational Education,1,1,3,12,-2,-2,0.7045,,,,,,0.255319,0.476440,0.382353,20200.00,256,797
Clovis Adult Education,CA,Council on Occupational Education,1,1,1,21,-2,-2,0.0000,,15911,,,,,,,30100.00,,
Coastline Community College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,13,1,3,0.0280,9211,8843,11870,14471,,0.299625,0.418919,0.518519,27900.00,347,503
Cogswell College,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,3,11,9,7,0.6733,,,,,,0.391892,0.333333,0.551724,28800.00,,
Coba Academy,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,11,-2,-2,0.6174,,,,,,,,,22300.00,,
Western University of Health Sciences,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,21,0,18,,,,,,,,,,108100.00,,
Columbia College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,41,1,2,0.0000,4858,5784,8965,8280,,,,,21800.00,177,466
Columbia College Hollywood,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,2,11,15,6,0.6858,,,,,,0.247619,0.288136,0.469697,23800.00,,
Compton College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,0,2,1,21,1,3,0.0000,7212,7005,10188,10665,,0.179868,,,22100.00,857,3829
Contra Costa College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,3,0.0196,6046,7119,8704,10849,,0.229358,,,24700.00,273,920
Cosumnes River College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,11,1,4,0.0312,4231,5061,7521,8729,11790,0.162500,0.243421,0.424242,22500.00,446,1718
Crafton Hills College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,41,1,3,0.0000,14226,14705,17301,18970,,,,,24600.00,168,726
Cuesta College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,23,1,4,0.0407,7966,8272,11810,13821,15922,0.405542,0.605263,0.633540,29500.00,215,1135
Cuyamaca College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,1,3,0.0056,2286,2959,5497,7524,,0.413146,,,22400.00,329,890
Cypress College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,21,5,12,0.0172,4202,4819,7151,7784,11828,0.312364,,,27100.00,466,2043
